10000,2
1,13643,49406,46346
1,11411,43073,32926
1,12806,61799,11966
1,6371,54923,49328
1,6255,56897,53918
1,196,29039,29837
1,1191,27403,45567
1,12343,39296,12935
1,18154,48981,61710
1,7568,39950,15731
1,10033,36161,44426
1,11217,21822,29865
1,11233,58017,40323
1,7366,45869,8264
1,13601,31851,30464
1,5595,17495,15651
1,5115,27542,51729
1,16499,17926,35251
1,16082,59263,36686
1,7428,25027,15490
1,15417,6237,12447
1,6320,26709,14625
1,5554,11987,4539
1,11502,36283,26362
1,911,60450,16979
1,9308,44750,40918
1,10011,29289,25465
1,13262,64161,13185
1,16430,8053,34081
1,7800,11480,25234
1,13282,61893,1309
1,13320,6830,25469
1,17635,14700,34480
1,11114,40267,44625
1,16996,17427,6195
1,1759,58757,54736
1,2710,10900,51381
1,519,36677,43536
1,3492,48371,42189
1,5588,15923,23727
1,13569,15729,43260
1,4618,36586,60457
1,8992,10860,21313
1,18526,65467,7261
1,19462,61332,53767
1,1276,28687,48581
1,14170,51313,55237
1,15469,17480,7910
1,16240,38764,15370
1,9498,4237,53704
1,813,22480,32110
1,8996,58620,44269
1,8139,3199,7872
1,9644,12147,6234
1,9495,2333,31530
1,15427,9097,27280
1,2629,44298,60856
1,18852,27354,60570
1,499,34849,16000
1,1121,17575,23386
1,13156,26684,41030
1,12795,33229,25401
1,12952,31325,41042
1,13927,14711,59129
1,3114,46424,9662
1,14709,32588,26544
1,1264,41566,28037
1,3156,7000,3427
1,4996,6672,54601
1,19771,3589,8645
1,18283,59343,51200
1,2394,48828,46656
1,15444,55667,34178
1,19889,34562,62893
1,18575,63987,3411
1,12455,553,37240
1,10086,35780,26478
1,8294,7920,16739
1,11953,27141,24726
1,12816,48324,55513
1,3072,9737,32844
1,5522,43964,27000
1,3459,18826,15587
1,9775,31154,7418
1,6710,65378,9771
1,19921,25291,64347
1,13476,45341,5439
1,2758,47958,57518
1,4327,53846,47787
1,15613,41621,54208
1,17992,33832,16686
1,12613,61591,38242
1,7151,44556,30156
1,18722,1606,19402
1,5643,27853,492
1,3406,31213,3422
1,40,53113,27036
1,10077,32001,49417
1,3307,43475,59499
